description,target
Non-Current-Current accounts Escrow,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non-Current-Deposit with original maturity of more than 12 months,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non Current-Long term bank deposit-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Term Deposit-Escrow,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Axis Bank-919020076679000-Main (ESCROW),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Allahabad Bank-50500436819-Main(Escrow),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Axis Bank-919020076679000-Deposit(ESCROW),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Allahabad Bank-50500436819-Deposit(Escrow),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Term Deposit-Escrow,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Term Deposit- DSRA,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Telephone Deposits,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Security Deposit - Others,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Security Deposit - Others-Advances to Liabili,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Sundry Deposits,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Security Deposit - Others-term deposits to Se,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Accommodation Deposits,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Electricity Deposits,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Retention- Post closure,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Security Deposit with Creditors,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Security Deposit - Others-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non Current-Security Deposits-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Security Deposit - Others-NC-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non Current-Receivable from service concession arrangement-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non current-Receivable from service concession arrangement,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Financial Asset- Grant Receivable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Receivable from SCA -C- Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non Current-Deposits - Others-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non Current-Deposits - Others-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non Current-Earnest money deposit-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non Current-Earnest money deposit-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non Current-Provision for EMD-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Tender/ EMD Deposit -Customer-NC-Adjust,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Provision for Earnest Money Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Non-Current-Earnest money deposit-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_NCurrAssets-->BS_LT_OthAsset-->BS_LT_FinAssets-->BS_LT_EquitySh-->
Stock - Steel,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Cement,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - POL,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Building Material,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Piping,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Chemicals & Reagents,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Liners,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Other raw materials,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Spares,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Consumables,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Tools tackles,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Liners (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Recyclables,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Wood and Joineries,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Other raw materials-Adjustments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Recyclables-Adjustments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Liners-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
"Materials, tools and spares",BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Steel (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Cement (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Building mat (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Piping (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Chem&Reage (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Wood &Joinerie (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Other raw mat (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Spares (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Consumables (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Tools tackles (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Finished Goods-Reclass- Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Recyclables- Reclass to FG-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Compost,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Trading goods,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Finishing Materials,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Compost,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Finishing Materials,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Semi Finished Goods,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Finished Goods,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock - Finished Goods-Reclass- Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Recyclables- Reclass to FG-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Trading goods,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Stock-Finishing mat (FI),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_Invent-->
Domestic - FI Customers,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Domestic - Industrial,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Domestic - Industrial-Adjustment-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Domestic - Industrial-Re-class of Prov-Adjust,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Domestic - Industrial-Re-class to Advance fro,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Domestic - Muncipal,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Customer - Special Business Group,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
International Customer - Individuals,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Current-Trade receivables,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Current-Provision for doubtful debts,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Domestic - Bio medical,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Customer - Recyclable Group,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Domestic - Muncipal-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Domestic - FI Customers - Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Provision for Doubtful Debtors (B/S),BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Current-Trade receivables which have significant increase in credit risk,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Current-Trade receivables ? credit impaired,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Current-Receivable from other related parties,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Inter Company - Customers,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Re-class of Prov-Adjustments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Inter Company - Customers-Adjustments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Inter company customers- Non SAP entities,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Inter company customers- Outside REEL group,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Work In Progress,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Work In Progress - Unbilled Revenue -Adjustme,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Current-Unbilled revenue-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_AR-->BS_ST_AR_3rd-->
Inter Corporate Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Loans to related parties,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Inter Corporate Deposit-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Inter corporate deposits to related party,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Provision for ICD,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Loans to employees,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Loans and advances to employees-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Staff Advances - Expenses-Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Loans to Others,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Non-Current-Forward Contract Receivable-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Security Deposits-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Receivable from service concession arrangement-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
EMD/ Tender deposits from Vendors-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Provision for Earnest Money Deposit -Adjustme,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Advance written off -Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Tender/ EMD Deposit - Customer,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Tender/ EMD Deposit - Customer-C-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Earnest money deposit-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Earnest money deposit-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Share application pending allotment-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Forward Contract Receivable-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Withheld Money - Customers,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Retention Money -Customers,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Security Deposit - Customer (Receivable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Re-class of Prov-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Retention Money -Customers Adjustment,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Retention money receivable-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Retention- Awareness Program,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Int. Accrued on Deposit with Banks/FI,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Interest accured-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Interest Accrued on Investments,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Interest Accrued on Loans to Companies,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Interest Accrued but not recived,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Receivable on account of sale of asset-Adjust,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Receivable on accout of sale of asset-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Other receivables-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Claims Receivables - Others,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Inter Corporate Deposits given- Non SAP Entities,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Inter Corporate Deposits given-Outside REEL Group,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OthInvest-->
Current-Capital Advances-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Capital Advances-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Provision for capital advances-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Others assets -Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Preliminary Expenses,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Misc.Exp.(To The Extent Not Written off,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Advance to related party-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Central GST Interim Receviable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
State GST Interim Receviable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Integrated GST Interim Receviable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Central GST Receviable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
State GST Receviable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Integrated GST Receviable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Integrated GST Receviable Imports,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
GST Advance Paid,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
VAT Receivable - Input,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Works Contract Tax Receivable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
IGST Receivable-TDS,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
CGST Receivable-TDS,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
SGST Receivable-TDS,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Excise Duty Receivable Basic,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Excise Duty Receivable Education Cess,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Excise Duty Receivable Secondary Educat,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Service Tax-Basic-Receivable-Input Serv,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
ServiceTax-Cess-Receivable-InputService,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
ServiceTax-SHECess-Receivable-InputServ,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
